Grand Parent,Grand Parent Description,Parent,Parent Description,Child,Child Description,Grand Child,2023-09-02 00:00:00
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Create or Update Public IP Address rule,Create an activity log alert for the Create or Update Public IP Addresses rule.,Activity Log Alert does not exists for Create or Update Public IP Address rule.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Delete Public IP Address rule,Create an activity log alert for the Delete Public IP Address rule.,Activity Log Alert does not exists for Delete Public IP Address rule.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,,,Ensure that Azure Monitor Resource Logging is Enabled for All Services that Support it,"Resource Logs capture activity to the data access plane while the Activity log is a subscription-level log for the control plane. Resource-level diagnostic logs provide insight into operations that were performed within that resource itself; for example, reading or updating a secret from a Key Vault.",Manual verification required.,Manual
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that RDP from the internet access is evaluated and restricted,"Network security groups should be periodically evaluated for port misconfigurations. Where certain ports and protocols may be exposed to the Internet, they should be evaluated for necessity and restricted wherever they are not explicitly required.",Not applicable.,Not applicable
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that SSH access from the internet is evaluated and restricted,"Network security groups should be periodically evaluated for port misconfigurations. Where certain ports and protocols may be exposed to the Internet, they should be evaluated for necessity and restricted wherever they are not explicitly required.",Not applicable.,Not applicable
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that UDP access from the Internet is evaluated and restricted,"Network security groups should be periodically evaluated for port misconfigurations. Where certain ports and protocols may be exposed to the Internet, they should be evaluated for necessity and restricted wherever they are not explicitly required.",Not applicable.,Not applicable
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that HTTP(S) access from the Internet is evaluated and restricted,"Network security groups should be periodically evaluated for port misconfigurations. Where certain ports and protocols may be exposed to the Internet, they should be evaluated for necessity and restricted wherever they are not explicitly required and narrowly configured.",Not applicable.,Not applicable
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Security Group Flow Log retention period is 'greater than 90 days',Network Security Group Flow Logs should be enabled and the retention period is set to greater than or equal to 90 days.,Not applicable.,Not applicable
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in brazilsouth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westcentralus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in jioindiacentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in polandcentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in jioindiawest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in southcentralus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westus2.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in francecentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in uaecentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in japaneast.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in switzerlandwest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in francesouth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in qatarcentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in switzerlandnorth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in norwaywest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in australiacentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in northeurope.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in swedencentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westus3.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in uaenorth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in eastasia.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in japanwest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in centralindia.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in southafricanorth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in brazilus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in eastus2.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westeurope.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in australiaeast.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in southafricawest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in canadacentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in germanynorth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in southeastasia.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in eastus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in northcentralus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in australiasoutheast.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in ukwest.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in koreasouth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in centralus.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in brazilsoutheast.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in canadaeast.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in westindia.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in uksouth.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in southindia.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in koreacentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in australiacentral2.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in germanywestcentral.,Alarm
6 Networking,This section covers security recommendations to follow in order to set networking policies on an Azure subscription.,,,Ensure that Network Watcher is 'Enabled',Enable Network Watcher for Azure subscriptions.,Network watcher not enabled in norwayeast.,Alarm
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure Virtual Machines are utilizing Managed Disks,Migrate BLOB based VHD's to Managed Disks on Virtual Machines to exploit the default features of this configuration.,Not applicable.,Not applicable
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure that 'OS and Data' disks are encrypted with Customer Managed Key (CMK),Ensure that OS disks (boot volumes) and data disks (non-boot volumes) are encrypted with CMK (Customer Managed Keys). Customer Managed keys can be either ADE or Server Side Encryption(SSE).,Not applicable.,Not applicable
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure that 'Unattached disks' are encrypted with CMK,Ensure that unattached disks in a subscription are encrypted with a Customer Managed Key (CMK).,Not applicable.,Not applicable
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure that only approved extensions are installed,For added security only install organization-approved extensions on VMs.,Manual verification required.,Manual
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure that the endpoint protection for all Virtual Machines is installed,Install endpoint protection for all virtual machines.,Manual verification required.,Manual
7 Virtual Machines,This section covers security recommendations to follow for the configuration of Virtual Machines on an Azure subscription.,,,Ensure that VHD's are encrypted,"VHD (Virtual Hard Disks) are stored in blob storage and are the old-style disks that were attached to Virtual Machines. The blob VHD was then leased to the VM. By default, storage accounts are not encrypted, and Microsoft Defender will then recommend that the OS disks should be encrypted. Storage accounts can be encrypted as a whole using PMK or CMK. This should be turned on for storage accounts containing VHDs.",Manual verification required.,Manual
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure that the Expiration Date is set for all Keys in RBAC Key Vaults,Ensure that all Keys in Role Based Access Control (RBAC) Azure Key Vaults have an expiration time set.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure that the Expiration Date is set for all Keys in Non-RBAC Key Vaults,Ensure that all Keys in Non Role Based Access Control (RBAC) Azure Key Vaults have an expiration time set.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure that the Expiration Date is set for all Secrets in RBAC Key Vaults,Ensure that all Secrets in Role Based Access Control (RBAC) Azure Key Vaults have an expiration time set.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure that the Expiration Date is set for all Secrets in Non-RBAC Key Vaults,Ensure that all Secrets in Non Role Based Access Control (RBAC) Azure Key Vaults have an expiration time set.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure the key vault is recoverable,"The key vault contains object keys, secrets and certificates. Accidental unavailability of a key vault can cause immediate data loss or loss of security functions (authentication, validation, verification, non-repudiation, etc.) supported by the key vault objects. It is recommended the key vault be made recoverable by enabling the ""Do Not Purge"" and ""Soft Delete"" functions.",Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Enable Role Based Access Control for Azure Key Vault,Role assignments disappear when a Key Vault has been deleted (soft- delete) and recovered. Afterwards it will be required to recreate all role assignments. This is a limitation of the soft-delete feature across all Azure services.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure that Private Endpoints are Used for Azure Key Vault,Private endpoints will secure network traffic from Azure Key Vault to the resources requesting secrets and keys.,Not applicable.,Not applicable
8 Other Security Considerations,This section covers security recommendations to follow for the configuration and use of Azure Key Vault.,,,Ensure Automatic Key Rotation is Enabled Within Azure Key Vault for the Supported Services,"Automatic Key Rotation is available in Public Preview. The currently supported applications are Key Vault, Managed Disks, and Storage accounts accessing keys within Key Vault. The number of supported applications will incrementally increased.",Manual verification required.,Manual
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure App Service Authentication is set up for apps in Azure App Service,"Azure App Service Authentication is a feature that can prevent anonymous HTTP requests from reaching the API app, or authenticate those that have tokens before they reach the API app. If an anonymous request is received from a browser, App Service will redirect to a logon page. To handle the logon process, a choice from a set of identity providers can be made, or a custom authentication mechanism can be implemented.",Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,Azure Web Apps allows sites to run under both HTTP and HTTPS by default. Web apps can be accessed by anyone using non-secure HTTP links by default. Non-secure HTTP requests can be restricted and all HTTP requests redirected to the secure HTTPS port. It is recommended to enforce HTTPS-only traffic.,Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure web app is using the latest version of TLS encryption,"The TLS(Transport Layer Security) protocol secures transmission of data over the internet using standard encryption technology. Encryption should be set with the latest version of TLS. App service allows TLS 1.2 by default, which is the recommended TLS level by industry standards, such as PCI DSS.",Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set to 'On',Client certificates allow for the app to request a certificate for incoming requests. Only clients that have a valid certificate will be able to reach the app.,Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure that Register with Azure Active Directory is enabled on App Service,"Managed service identity in App Service makes the app more secure by eliminating secrets from the app, such as credentials in the connection strings. When registering with Azure Active Directory in the app service, the app will connect to other Azure services securely without the need of username and passwords.",Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,"Ensure that 'PHP version' is the latest, if used to run the web app","Periodically newer versions are released for PHP software either due to security flaws or to include additional functionality. Using the latest PHP version for web apps is recommended in order to take advantage of security fixes, if any, and/or additional functionalities of the newer version.",Manual verification required.,Manual
9 AppService,This section covers security recommendations for Azure AppService.,,,"Ensure that 'Python version' is the latest stable version, if used to run the web app","Periodically, newer versions are released for Python software either due to security flaws or to include additional functionality. Using the latest Python version for web apps is recommended in order to take advantage of security fixes, if any, and/or additional functionalities of the newer version.",Manual verification required.,Manual
9 AppService,This section covers security recommendations for Azure AppService.,,,"Ensure that 'Java version' is the latest, if used to run the web app","Periodically, newer versions are released for Java software either due to security flaws or to include additional functionality. Using the latest Java version for web apps is recommended in order to take advantage of security fixes, if any, and/or new functionalities of the newer version.",Manual verification required.,Manual
9 AppService,This section covers security recommendations for Azure AppService.,,,"Ensure that 'HTTP Version' is the latest, if used to run the web app","Periodically, newer versions are released for HTTP either due to security flaws or to include additional functionality. Using the latest HTTP version for web apps to take advantage of security fixes, if any, and/or new functionalities of the newer version.",Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure FTP deployments are disabled,"By default, Azure Functions, Web and API Services can be deployed over FTP. If FTP is required for an essential deployment workflow, FTPS should be required for FTP login for all App Service Apps and Functions.",Not applicable.,Not applicable
9 AppService,This section covers security recommendations for Azure AppService.,,,Ensure Azure Keyvaults are used to store secrets,"Encryption keys, Certificate thumbprints and Managed Identity Credentials can be coded into the APP service, this renders them visible as part of the configuration, to maintain security of these keys it is better to store in an Azure Keyvault and reference them from the Keyvault.",Manual verification required.,Manual
10 Miscellaneous,This section covers security recommendations for Miscellaneous.,,,Ensure that Resource Locks are set for Mission-Critical Azure Resources,"Resource Manager Locks provide a way for administrators to lock down Azure resources to prevent deletion of, or modifications to, a resource. These locks sit outside of the Role Based Access Controls (RBAC) hierarchy and, when applied, will place restrictions on the resource for all users. These locks are very useful when there is an important resource in a subscription that users should not be able to delete or change. Locks can help prevent accidental and malicious changes or deletion.",Manual verification required.,Manual
